مدل,sim_skew,actual_skew,target_skew_F02,sim_zero_share,actual_zero_share,target_zero_share_F03,sim_mean,actual_mean
bhm_beta_binomial_restaurant,1.8137583888222424,3.0571700668494763,4.06,0.05626053639846743,0.06206896551724138,0.049,0.09695350842915594,0.10690092406542795
bhm_beta_binomial_crossed,1.7863703106449358,3.0571700668494763,4.06,0.056132183908045974,0.06206896551724138,0.049,0.09753826207231507,0.10690092406542795
bhm_varying_dispersion,2.108490056821303,3.0571700668494763,4.06,0.066316091954023,0.06206896551724138,0.049,0.09843346796338293,0.10690092406542795
