scenario,tau,shortage_rate,shortage_portions_per_day,worst_day_shortage_portions,shortage_portions_per_meal,median_shortage_portions_per_meal,worst_meal_shortage_portions,mean_shortage_depth,unmet_demand_rate,fill_rate,n_oof_days,rows_per_day,rows_per_year_assumed,per_row_portions_saved,per_row_ci_lo,per_row_ci_hi,annual_portions_saved,annual_portions_saved_lo,annual_portions_saved_hi,annual_toman,annual_toman_lo,annual_toman_hi
محافظه‌کارانه,0.02,0.01443298969072165,2.65,116.0,1.4929577464788732,0.0,62.0,3.7857142857142856,0.00023799821052288882,0.9997620017894772,80,48.5,10864.0,8.918556701030928,6.171613123690219,12.057015648488106,96891.2,67048.40497577054,130987.41800517478,36334200000.0,25143151865.91395,49120281751.940544
متعادل,0.1,0.07938144329896907,15.3375,160.0,8.640845070422536,1.5,85.0,3.9837662337662336,0.0013774707750546442,0.9986225292249453,80,48.5,10864.0,13.434020618556701,9.306010594538195,17.934117512200455,145947.2,101100.49909906296,194836.25265254575,54730200000.00001,37912687162.14861,73063594744.70465
تهاجمی,0.2,0.15360824742268042,31.3625,207.0,17.669014084507044,8.0,114.0,4.209731543624161,0.002816686368877019,0.997183313631123,80,48.5,10864.0,15.201546391752577,10.827918791694229,19.971542006716742,165149.6,117634.5097529661,216970.8323609707,61931100000.0,44112941157.36229,81364062135.36401
