tau,shortage_rate,waste_reduction_pct,portions_saved,n_rows,n_days
0.02,0.01443298969072165,41.70664095456189,34604.0,3880,80
0.05,0.03865979381443299,53.0034952392431,43977.0,3880,80
0.1,0.07938144329896907,62.82270700253103,52124.0,3880,80
0.15,0.11649484536082474,67.8016150415813,56255.0,3880,80
0.2,0.15360824742268042,71.08834518500663,58982.0,3880,80
0.25,0.2036082474226804,74.14487164035194,61518.0,3880,80
0.3,0.2311855670103093,76.00940098830903,63065.0,3880,80
