tau,coverage,gap
0.05,0.14089121887287026,0.09089121887287026
0.1,0.21231979030144169,0.11231979030144168
0.2,0.336173001310616,0.136173001310616
0.3,0.4803407601572739,0.1803407601572739
0.4,0.4947575360419397,0.0947575360419397
0.5,0.580602883355177,0.08060288335517696
0.6,0.6402359108781127,0.040235910878112735
0.7,0.7221494102228048,0.02214941022280481
0.8,0.754259501965924,-0.045740498034076094
0.9,0.8650065530799476,-0.03499344692005246
0.95,0.898427260812582,-0.051572739187418004
