day_type,n,pinball,shortage_rate,coverage,coverage_gap
امتحان,158,0.009583013996517996,0.21518987341772153,0.379746835443038,0.179746835443038
تعطیل,14,0.008408581646159803,0.07142857142857142,0.14285714285714285,-0.05714285714285716
عادی,1284,0.010280430485557095,0.19937694704049844,0.3317757009345794,0.1317757009345794
قبل‌تعطیل,70,0.007843496163166881,0.2571428571428571,0.35714285714285715,0.15714285714285714
