FoodType,n,pinball,shortage_rate,coverage,coverage_gap
berenji,765,0.008893141132810348,0.23921568627450981,0.3411764705882353,0.1411764705882353
khorak,761,0.011271617428085615,0.16557161629434955,0.3311432325886991,0.1311432325886991
