tau,pinball,shortage_rate,n_shortage_cells,shortage_portions,max_shortage_cell,surplus_portions,portions_saved_vs_B0,rial_saved_toman,waste_reduction_pct,coverage,coverage_gap
0.02,0.0014453882729653699,0.01834862385321101,28,58.0,6.0,16676.0,14628.0,1755360000.0,0.4672885254280603,0.08387942332896461,0.06387942332896461
0.05,0.0032720261458922505,0.047182175622542594,72,241.0,17.0,12228.0,19076.0,2289120000.0,0.6093789930999234,0.14089121887287026,0.09089121887287026
0.1,0.005844619787763618,0.10222804718217562,156,593.0,20.0,9705.0,21599.0,2591880000.0,0.6899757219524661,0.21231979030144169,0.11231979030144168
0.15,0.008069462648799021,0.1559633027522936,238,999.0,28.0,8209.0,23095.0,2771400000.0,0.7377651418349093,0.26802096985583224,0.11802096985583224
0.2,0.010079262011384711,0.20249017038007863,309,1491.0,33.0,6963.0,24341.0,2920920000.0,0.7775683618706875,0.336173001310616,0.136173001310616
0.25,0.011799830881710056,0.26802096985583224,409,1873.0,29.0,6112.0,25192.0,3023040000.0,0.804753386148735,0.39121887287024903,0.14121887287024903
0.3,0.013752543330015255,0.3577981651376147,546,3085.0,47.0,4709.0,26595.0,3191400000.0,0.8495719396882188,0.4803407601572739,0.1803407601572739
0.3333333333333333,0.013990450439289617,0.3414154652686763,521,2728.0,37.0,4845.0,26459.0,3175080000.0,0.845227446971633,0.4646133682830931,0.13128003494975976
