,dm_stat,dm_p,delta,ci_lo,ci_hi
lightgbm_quantile,-5.458040803400534,4.814170417866137e-08,-0.0017028824314762776,-0.003401012303081324,-0.00043051630514581235
catboost_quantile,-5.281378095147751,1.2821578154742497e-07,-0.001665793536737667,-0.0033901606982175716,-0.0004005429223222832
bhm_varying_dispersion,-6.6949852631721765,2.156941292241754e-11,-0.0022863686634163743,-0.004209739143211393,-0.0008995383543295998
