dow_name,n,pinball,shortage_rate,coverage,coverage_gap
دوشنبه,287,0.008767537954922622,0.18815331010452963,0.30662020905923343,0.10662020905923342
سه‌شنبه,356,0.012197217472886096,0.2303370786516854,0.35674157303370785,0.15674157303370784
شنبه,229,0.009457465583268307,0.23580786026200873,0.40611353711790393,0.20611353711790392
پنجشنبه,93,0.0074871888288730905,0.24731182795698925,0.3655913978494624,0.16559139784946236
چهارشنبه,278,0.012470647140542884,0.18705035971223022,0.3237410071942446,0.12374100719424458
یکشنبه,283,0.007751070428403762,0.15547703180212014,0.2862190812720848,0.08621908127208477
