res_quartile,n,pinball,shortage_rate,coverage,coverage_gap
Q1(کم),382,0.017055289238275838,0.09424083769633508,0.36649214659685864,0.16649214659685863
Q2,382,0.010175459011724841,0.1544502617801047,0.2879581151832461,0.08795811518324609
Q3,380,0.007323278920836903,0.23421052631578948,0.3236842105263158,0.12368421052631579
Q4(زیاد),382,0.0057485916438606965,0.32722513089005234,0.36649214659685864,0.16649214659685863
