date_gregorian,resid
2024-04-23,0.0394828471040911
2024-04-24,0.00972867124186326
2024-04-25,0.015347621632123333
2024-04-27,0.019756912748843926
2024-04-28,0.025227557878671772
2024-04-29,0.016171634532991745
2024-04-30,0.0260795742494819
2024-05-01,0.05352072315165378
2024-05-02,0.013652702333938395
2024-05-04,0.039740771301859226
2024-05-05,0.01009673800091342
2024-05-06,0.00822980322933257
2024-05-07,0.022348328028239176
2024-05-08,0.04496315054335293
2024-05-09,0.012880390524388458
2024-05-11,0.011856896588653857
2024-05-12,0.020747520163225418
2024-05-13,0.0256538875487685
2024-05-14,0.02042165688303065
2024-05-15,0.029693282368484827
2024-05-16,0.010015685155413878
2024-05-18,0.011078246013431619
2024-05-19,0.028202913358680158
2024-05-20,0.03500367393657197
2024-05-21,0.04842782306116787
