feature,pdp_range,ale_range,ale_direction,ice_range_median,ice_range_p90,heterogeneity_ratio
log_res,0.05773024086481049,0.06043057652282864,صعودی,0.06330234341641394,0.08744913720818916,1.5147890585277957
rho_cell_lag1,0.022980838507088604,0.02002159684325413,صعودی,0.02345818714427441,0.035030717973720496,1.5243446388135498
day_shock_lag1,0.013247914772888045,0.013984603713253572,صعودی,0.013128147874312095,0.020593106542079305,1.5544413513455906
cell_dow_expanding_rate,0.009161548002005492,0.010338249827883741,صعودی,0.009837888352871058,0.017120277600611016,1.868710134669745
res_vs_history,0.006490715730123553,0.007308478500659448,نزولی,0.008345605205627705,0.013678114930727986,2.1073353847939384
