depth,n_leaves,fidelity_r2_vs_champion,own_pinball_on_truth
2,4,0.5448732175337655,0.013074245679225188
3,8,0.6621138796882066,0.012233543255362236
4,15,0.6719350497464306,0.011965465855581295
