q,n,share_rho_zero,q20_rho,mean_rho
Q1,1915.0,0.15926892950391644,0.03125,0.12232833900051536
Q2,1892.0,0.026427061310782242,0.0357142857142857,0.09384908463466672
Q3,1879.0,0.006918573709419904,0.04598240970028172,0.08803227745590038
Q4,1893.0,0.001584786053882726,0.04697042419026494,0.07890810495913834
