canonical_name,reason,decided_on
دوره حوزه علوم انسانی,داده پرت / سری زمانی ناکافی (ردیف ۲۲ decision_log),2026-08-13
دوره حوزه علوم انسانی ( مهر),داده پرت / سری زمانی ناکافی (ردیف ۲۲ decision_log),2026-08-13
