family,model_id,level,target,status,pinball_rate,pinball_portions,shortage_rate,waste_reduction_pct,coverage,coverage_gap,RMSE_rho,MAE_rho,R2_rho,delta_vs_B3,delta_vs_B3_ci_lo,delta_vs_B3_ci_hi,beats_B3_significant,n_raw,n_eff,fit_seconds,n_trials,converged
F02,lightgbm_quantile,L1,rho,تکمیل‌شده,0.012107566940754636,1.7696550605465604,0.15360824742268042,0.7108834518500663,0.26237113402061857,0.06237113402061856,0.094825974571838,0.04793464318792484,-0.04961659813235508,-0.0012392823942771157,-0.0018684196852879478,-0.000711048089511227,True,3880,331.97860962566847,532.863361120224,60,True
F02,catboost_quantile,L1,rho,تکمیل‌شده,0.012240117037528163,1.7977698317176931,0.14278350515463917,0.6937326744606485,0.24871134020618557,0.04871134020618556,0.0958255011375254,0.04913176783918381,-0.07186047962919728,-0.0011067322975035886,-0.001846710566332358,-0.0004585109457861927,True,3880,331.97860962566847,451.5001404285431,60,True
F02,qrf,L1,rho,تکمیل‌شده,0.01233483010307792,1.7983643451916742,0.1077319587628866,0.6509943353019163,0.20824742268041238,0.00824742268041237,0.09683119909383865,0.050891112085446416,-0.09447710192508985,-0.0010120192319538323,-0.0017106712976264727,-0.00041437968610233997,True,3880,331.97860962566847,5148.513551950455,60,True
F10,knn_quantile,L1,rho,تکمیل‌شده,0.012981484620333904,1.902309201084057,0.09484536082474226,0.6193925515246475,0.19046391752577319,-0.009536082474226826,0.0997544119697896,0.05453637097068895,-0.16155635681712255,-0.00036536471469784775,-0.0008969146414469906,8.615748536097279e-05,False,3880,331.97860962566847,15.687918424606323,25,True
F01,l1_quantile_regression,L1,rho,تکمیل‌شده,0.01318547640541746,1.9189045174350665,0.10721649484536082,0.6403639869832469,0.20438144329896907,0.004381443298969057,0.0963175663850431,0.053053010228819815,-0.08289677902652359,-0.0001613729296142917,-0.0006421625503850892,0.0003010853805550989,False,3880,331.97860962566847,831.6785142421722,25,True
F01,elasticnet,L1,rho,تکمیل‌شده,0.013575441929678012,1.9473775510996083,0.14278350515463917,0.6770760515849101,0.23711340206185566,0.03711340206185565,0.0929179131793854,0.05044755460513018,-0.00780139497380028,0.00022859259464626074,-0.0005091538295906475,0.0010845945922593487,False,3880,331.97860962566847,39.08714699745178,25,True
F01,lasso,L1,rho,تکمیل‌شده,0.013594839885614069,1.9563676764276565,0.14510309278350517,0.6782089912016391,0.238659793814433,0.03865979381443299,0.09300207184623736,0.05047970638618038,-0.009627816356970742,0.0002479905505823176,-0.00048439841654493513,0.0010841836248834766,False,3880,331.97860962566847,36.22111535072327,25,True
F11,erm_newsvendor,L1,rho,تکمیل‌شده,0.01359745238379004,1.8683673556322977,0.1402061855670103,0.649909605881644,0.24381443298969072,0.043814432989690705,0.0942627811207646,0.050515061253018995,-0.03718579008776346,0.0002506030487582876,-0.0003036791019034956,0.0008687951059160378,False,3880,331.97860962566847,511.6422207355499,25,True
F01,adaptive_lasso,L1,rho,تکمیل‌شده,0.01364895377595632,1.9949121126427711,0.12706185567010309,0.6481981439074365,0.22216494845360824,0.022164948453608224,0.09514094774143446,0.05235425062660987,-0.056600974072573695,0.00030210444092456865,-0.0003146295119672584,0.0009774695752533852,False,3880,331.97860962566847,31.97705626487732,25,True
F01,hurdle,L1,rho,تکمیل‌شده,0.013927806984428666,2.1418590455268878,0.08170103092783505,0.5379414246113052,0.17835051546391753,-0.02164948453608248,0.09810440894834004,0.0557054608320603,-0.12344835157437939,0.0005809576493969147,-0.0004370127331431295,0.0017640603577187297,False,3880,331.97860962566847,462.27999448776245,25,True
F01,quantile_regression,L1,rho,تکمیل‌شده,0.014032333796653921,2.324818977651477,0.07087628865979381,0.5221766903700132,0.14845360824742268,-0.05154639175257733,0.10258708153831597,0.060855626774125614,-0.2284611031304573,0.0006854844616221694,-0.00016228506816117318,0.001685460975563423,False,3880,331.97860962566847,275.385062456131,25,True
F01,composite_quantile_regression,L1,rho,تکمیل‌شده,0.014146528332438957,2.3479344813448892,0.06855670103092784,0.520923225262143,0.14072164948453608,-0.05927835051546393,0.10576837978384868,0.06343515506480024,-0.30583337239703656,0.0007996789974072053,-2.8883651953599774e-05,0.001716626140325522,False,3880,331.97860962566847,28570.156253814697,25,True
F01,expectile_regression,L1,rho,تکمیل‌شده,0.014472561197210878,2.3108602399583407,0.1559278350515464,0.6255152464746294,0.25463917525773194,0.05463917525773193,0.09227080668878489,0.05193573356597252,0.006186950369851063,0.0011257118621791264,-3.502631026753196e-05,0.0024672906419169103,False,3880,331.97860962566847,38.7063262462616,25,True
F01,ridge,L1,rho,تکمیل‌شده,0.014557866834422041,2.4098917395242734,0.09072164948453608,0.5300108472942027,0.1711340206185567,-0.028865979381443307,0.09778298726777587,0.0590737975907437,-0.11609885281170285,0.0012110174993902895,0.00012586523746974584,0.002659106669578712,False,3880,331.97860962566847,31.325225353240967,25,True
F01,glm_tweedie,L1,rho,تکمیل‌شده,0.014711110821458465,2.5226777569335463,0.03814432989690722,0.41993491623478363,0.11855670103092783,-0.08144329896907218,0.10161940649126044,0.06292388223858404,-0.2053949517084157,0.0013642614864267134,0.0005707195376343584,0.0022418692928289066,False,3880,331.97860962566847,309.8832697868347,25,True
F01,ols,L1,rho,تکمیل‌شده,0.014728280092650021,2.4426043497402725,0.1134020618556701,0.549306978425937,0.19974226804123713,-0.0002577319587628857,0.09677619483213665,0.05780652171651832,-0.09323403549277831,0.0013814307576182697,0.00017073654064064716,0.0029762263719666183,False,3880,331.97860962566847,30.412986755371094,25,True
F01,beta_regression,L1,rho,تکمیل‌شده,0.015005927793179283,2.6115594753233538,0.02190721649484536,0.4055321200433891,0.08556701030927835,-0.11443298969072166,0.10948533850649646,0.07015318267070349,-0.39922640128771913,0.0016590784581475317,0.0006328074661001908,0.002766112839357291,False,3880,331.97860962566847,334.76861691474915,25,True
F09,lightgbm_lss_beta,L1,rho,تکمیل‌شده,0.015346670772535619,2.342570097581729,0.30438144329896905,0.7839580571290828,0.42010309278350516,0.22010309278350515,0.08682083858014979,0.04408112019473287,0.12011885227716146,0.001999821437503867,0.0007021182336649609,0.003282134585465853,False,3880,331.97860962566847,157.1749792098999,60,True
F01,group_lasso,L1,rho,تکمیل‌شده,0.015974144683030957,2.62092038408977,0.11134020618556702,0.4740749668554899,0.18324742268041236,-0.016752577319587653,0.11177166268584109,0.06865157162277657,-0.45827517614459823,0.002627295347999206,0.0015174339151868077,0.003917137206269162,False,3880,331.97860962566847,418.6723618507385,25,True
